cidade,h,data_alvo,real,previsto
americana,1,2015-01-11,41.0,25.8
americana,1,2015-01-18,52.0,47.9
americana,1,2015-01-25,97.0,56.5
americana,1,2015-02-01,170.0,146.3
americana,1,2015-02-08,168.0,200.6
americana,1,2015-02-15,221.0,166.9
americana,1,2015-02-22,326.0,247.4
americana,1,2015-03-01,789.0,356.0
americana,1,2015-03-08,891.0,722.0
americana,1,2015-03-15,1052.0,996.8
americana,1,2015-03-22,1287.0,1251.4
americana,1,2015-03-29,976.0,1400.4
americana,1,2015-04-05,1073.0,986.9
americana,1,2015-04-12,1174.0,997.3
americana,1,2015-04-19,1023.0,1124.0
americana,1,2015-04-26,1025.0,811.1
americana,1,2015-05-03,670.0,777.7
americana,1,2015-05-10,527.0,527.9
americana,1,2015-05-17,396.0,377.2
americana,1,2015-05-24,206.0,279.1
americana,1,2015-05-31,160.0,135.1
americana,1,2015-06-07,85.0,108.5
americana,1,2015-06-14,92.0,59.9
americana,1,2015-06-21,47.0,70.0
americana,1,2015-06-28,49.0,45.0
americana,1,2015-07-05,20.0,38.4
americana,1,2015-07-12,19.0,14.6
americana,1,2015-07-19,18.0,12.0
americana,1,2015-07-26,19.0,15.9
americana,1,2015-08-02,6.0,14.7
americana,1,2015-08-09,6.0,14.5
americana,1,2015-08-16,1.0,8.8
americana,1,2015-08-23,1.0,6.0
americana,1,2015-08-30,4.0,5.9
americana,1,2015-09-06,2.0,5.0
americana,1,2015-09-13,1.0,2.5
americana,1,2015-09-20,3.0,2.1
americana,1,2015-09-27,3.0,1.8
americana,1,2015-10-04,6.0,2.0
americana,1,2015-10-11,4.0,2.6
americana,1,2015-10-18,7.0,5.4
americana,1,2015-10-25,12.0,3.5
americana,1,2015-11-01,8.0,11.7
americana,1,2015-11-08,8.0,6.8
americana,1,2015-11-15,7.0,8.3
americana,1,2015-11-22,8.0,5.4
americana,1,2015-11-29,12.0,8.9
americana,1,2015-12-06,26.0,8.7
americana,1,2015-12-13,11.0,21.4
americana,1,2015-12-20,12.0,14.3
americana,1,2015-12-27,12.0,15.2
americana,1,2016-01-03,31.0,25.2
americana,1,2016-01-10,33.0,23.6
americana,1,2016-01-17,43.0,55.8
americana,1,2016-01-24,70.0,60.0
americana,1,2016-01-31,101.0,87.7
americana,1,2016-02-07,161.0,152.7
americana,1,2016-02-14,215.0,208.8
americana,1,2016-02-21,198.0,246.4
americana,1,2016-02-28,257.0,231.7
americana,1,2016-03-06,231.0,293.6
americana,1,2016-03-13,215.0,285.4
americana,1,2016-03-20,156.0,233.8
americana,1,2016-03-27,128.0,194.0
americana,1,2016-04-03,131.0,156.6
americana,1,2016-04-10,101.0,140.7
americana,1,2016-04-17,70.0,84.1
americana,1,2016-04-24,86.0,68.2
americana,1,2016-05-01,64.0,72.6
americana,1,2016-05-08,57.0,44.8
americana,1,2016-05-15,27.0,45.6
americana,1,2016-05-22,12.0,23.1
americana,1,2016-05-29,13.0,3.4
americana,1,2016-06-05,0.0,4.2
americana,1,2016-06-12,4.0,2.6
americana,1,2016-06-19,11.0,3.6
americana,1,2016-06-26,15.0,5.8
americana,1,2016-07-03,11.0,7.0
americana,1,2016-07-10,13.0,9.7
americana,1,2016-07-17,14.0,9.7
americana,1,2016-07-24,9.0,10.4
americana,1,2016-07-31,2.0,8.3
americana,1,2016-08-07,5.0,3.1
americana,1,2016-08-14,5.0,4.8
americana,1,2016-08-21,3.0,4.6
americana,1,2016-08-28,0.0,3.1
americana,1,2016-09-04,2.0,2.3
americana,1,2016-09-11,4.0,2.9
americana,1,2016-09-18,6.0,5.4
americana,1,2016-09-25,10.0,2.5
americana,1,2016-10-02,7.0,6.5
americana,1,2016-10-09,17.0,8.9
americana,1,2016-10-16,26.0,12.0
americana,1,2016-10-23,13.0,15.0
americana,1,2016-10-30,20.0,14.8
americana,1,2016-11-06,28.0,14.2
americana,1,2016-11-13,19.0,24.6
americana,1,2016-11-20,23.0,20.5
americana,1,2016-11-27,37.0,20.5
americana,1,2016-12-04,45.0,32.4
americana,1,2016-12-11,29.0,39.1
americana,1,2016-12-18,31.0,36.2
americana,1,2016-12-25,53.0,27.7
americana,1,2017-01-01,46.0,46.6
americana,1,2017-01-08,30.0,58.0
americana,1,2017-01-15,25.0,37.5
americana,1,2017-01-22,24.0,31.3
americana,1,2017-01-29,37.0,29.8
americana,1,2017-02-05,53.0,46.0
americana,1,2017-02-12,46.0,61.7
americana,1,2017-02-19,36.0,53.7
americana,1,2017-02-26,33.0,46.4
americana,1,2017-03-05,35.0,42.0
americana,1,2017-03-12,41.0,37.8
americana,1,2017-03-19,29.0,48.4
americana,1,2017-03-26,9.0,29.3
americana,1,2017-04-02,8.0,15.8
americana,1,2017-04-09,9.0,13.4
americana,1,2017-04-16,12.0,7.9
americana,1,2017-04-23,7.0,10.3
americana,1,2017-04-30,23.0,7.3
americana,1,2017-05-07,20.0,12.5
americana,1,2017-05-14,19.0,15.2
americana,1,2017-05-21,28.0,12.3
americana,1,2017-05-28,16.0,18.3
americana,1,2017-06-04,15.0,11.9
americana,1,2017-06-11,9.0,11.2
americana,1,2017-06-18,14.0,9.3
americana,1,2017-06-25,7.0,9.3
americana,1,2017-07-02,7.0,7.5
americana,1,2017-07-09,8.0,5.7
americana,1,2017-07-16,3.0,6.5
americana,1,2017-07-23,7.0,5.7
americana,1,2017-07-30,2.0,5.1
americana,1,2017-08-06,5.0,5.5
americana,1,2017-08-13,3.0,3.5
americana,1,2017-08-20,2.0,3.6
americana,1,2017-08-27,5.0,1.7
americana,1,2017-09-03,10.0,3.7
americana,1,2017-09-10,4.0,4.5
americana,1,2017-09-17,4.0,4.8
americana,1,2017-09-24,12.0,6.5
americana,1,2017-10-01,7.0,9.3
americana,1,2017-10-08,10.0,6.2
americana,1,2017-10-15,11.0,6.1
americana,1,2017-10-22,3.0,11.1
americana,1,2017-10-29,1.0,6.5
americana,1,2017-11-05,7.0,4.7
americana,1,2017-11-12,2.0,2.9
americana,1,2017-11-19,5.0,5.6
americana,1,2017-11-26,1.0,4.3
americana,1,2017-12-03,2.0,1.8
americana,1,2017-12-10,3.0,2.1
americana,1,2017-12-17,3.0,1.4
americana,1,2017-12-24,3.0,3.1
americana,1,2017-12-31,5.0,2.8
americana,1,2018-01-07,4.0,3.6
americana,1,2018-01-14,17.0,4.2
americana,1,2018-01-21,8.0,19.0
americana,1,2018-01-28,8.0,11.5
americana,1,2018-02-04,2.0,9.8
americana,1,2018-02-11,1.0,6.0
americana,1,2018-02-18,2.0,2.8
americana,1,2018-02-25,6.0,5.0
americana,1,2018-03-04,5.0,4.0
americana,1,2018-03-11,4.0,3.9
americana,1,2018-03-18,2.0,4.4
americana,1,2018-03-25,1.0,3.3
americana,1,2018-04-01,5.0,1.5
americana,1,2018-04-08,2.0,4.6
americana,1,2018-04-15,6.0,3.1
americana,1,2018-04-22,4.0,3.3
americana,1,2018-04-29,7.0,4.6
americana,1,2018-05-06,9.0,2.9
americana,1,2018-05-13,7.0,5.0
americana,1,2018-05-20,7.0,5.7
americana,1,2018-05-27,4.0,5.5
americana,1,2018-06-03,5.0,4.9
americana,1,2018-06-10,4.0,3.6
americana,1,2018-06-17,3.0,3.4
americana,1,2018-06-24,6.0,2.4
americana,1,2018-07-01,6.0,3.6
americana,1,2018-07-08,1.0,5.0
americana,1,2018-07-15,2.0,2.7
americana,1,2018-07-22,6.0,2.0
americana,1,2018-07-29,1.0,2.7
americana,1,2018-08-05,1.0,2.5
americana,1,2018-08-12,3.0,1.7
americana,1,2018-08-19,2.0,2.2
americana,1,2018-08-26,3.0,1.5
americana,1,2018-09-02,0.0,1.9
americana,1,2018-09-09,0.0,1.3
americana,1,2018-09-16,0.0,1.6
americana,1,2018-09-23,1.0,0.7
americana,1,2018-09-30,2.0,1.2
americana,1,2018-10-07,2.0,1.2
americana,1,2018-10-14,1.0,0.9
americana,1,2018-10-21,2.0,1.5
americana,1,2018-10-28,3.0,1.6
americana,1,2018-11-04,0.0,1.8
americana,1,2018-11-11,0.0,0.5
americana,1,2018-11-18,2.0,0.9
americana,1,2018-11-25,6.0,1.4
americana,1,2018-12-02,0.0,2.3
americana,1,2018-12-09,3.0,1.8
americana,1,2018-12-16,5.0,0.5
americana,1,2018-12-23,3.0,3.9
americana,1,2018-12-30,6.0,3.4
americana,1,2019-01-06,10.0,3.8
americana,1,2019-01-13,7.0,9.2
americana,1,2019-01-20,14.0,8.1
americana,1,2019-01-27,15.0,14.1
americana,1,2019-02-03,30.0,14.3
americana,1,2019-02-10,51.0,32.3
americana,1,2019-02-17,58.0,61.1
americana,1,2019-02-24,110.0,72.0
americana,1,2019-03-03,213.0,142.7
americana,1,2019-03-10,324.0,218.7
americana,1,2019-03-17,489.0,364.4
americana,1,2019-03-24,549.0,609.0
americana,1,2019-03-31,581.0,650.0
americana,1,2019-04-07,652.0,594.5
americana,1,2019-04-14,625.0,645.5
americana,1,2019-04-21,505.0,568.1
americana,1,2019-04-28,599.0,439.6
americana,1,2019-05-05,779.0,453.4
americana,1,2019-05-12,649.0,611.0
americana,1,2019-05-19,331.0,483.2
americana,1,2019-05-26,225.0,233.6
americana,1,2019-06-02,135.0,195.2
americana,1,2019-06-09,91.0,106.0
americana,1,2019-06-16,42.0,87.0
americana,1,2019-06-23,61.0,41.0
americana,1,2019-06-30,20.0,37.4
americana,1,2019-07-07,12.0,18.0
americana,1,2019-07-14,7.0,10.8
americana,1,2019-07-21,3.0,8.4
americana,1,2019-07-28,7.0,6.6
americana,1,2019-08-04,4.0,5.6
americana,1,2019-08-11,3.0,4.4
americana,1,2019-08-18,2.0,4.7
americana,1,2019-08-25,0.0,3.1
americana,1,2019-09-01,2.0,2.6
americana,1,2019-09-08,3.0,2.6
americana,1,2019-09-15,8.0,3.1
americana,1,2019-09-22,0.0,4.1
americana,1,2019-09-29,8.0,1.5
americana,1,2019-10-06,3.0,5.2
americana,1,2019-10-13,4.0,4.8
americana,1,2019-10-20,8.0,4.9
americana,1,2019-10-27,6.0,6.5
americana,1,2019-11-03,7.0,5.3
americana,1,2019-11-10,3.0,5.2
americana,1,2019-11-17,6.0,5.7
americana,1,2019-11-24,4.0,6.5
americana,1,2019-12-01,10.0,5.4
americana,1,2019-12-08,6.0,5.5
americana,1,2019-12-15,16.0,5.2
americana,1,2019-12-22,9.0,8.4
americana,1,2019-12-29,23.0,9.3
americana,1,2020-01-05,36.0,14.4
americana,1,2020-01-12,42.0,38.8
americana,1,2020-01-19,56.0,55.6
americana,1,2020-01-26,43.0,61.6
americana,1,2020-02-02,65.0,53.5
americana,1,2020-02-09,110.0,70.7
americana,1,2020-02-16,104.0,130.8
americana,1,2020-02-23,100.0,128.7
americana,1,2020-03-01,153.0,117.8
americana,1,2020-03-08,127.0,177.9
americana,1,2020-03-15,76.0,142.9
americana,1,2020-03-22,77.0,82.9
americana,1,2020-03-29,61.0,73.3
americana,1,2020-04-05,84.0,50.1
americana,1,2020-04-12,85.0,73.4
americana,1,2020-04-19,87.0,77.5
americana,1,2020-04-26,76.0,80.2
americana,1,2020-05-03,78.0,63.6
americana,1,2020-05-10,60.0,58.8
americana,1,2020-05-17,42.0,43.8
americana,1,2020-05-24,52.0,29.5
americana,1,2020-05-31,71.0,36.5
americana,1,2020-06-07,76.0,56.0
americana,1,2020-06-14,51.0,52.0
americana,1,2020-06-21,55.0,42.7
americana,1,2020-06-28,49.0,43.2
americana,1,2020-07-05,48.0,37.4
americana,1,2020-07-12,27.0,39.0
americana,1,2020-07-19,25.0,22.5
americana,1,2020-07-26,33.0,19.7
americana,1,2020-08-02,31.0,27.6
americana,1,2020-08-09,21.0,28.0
americana,1,2020-08-16,17.0,21.5
americana,1,2020-08-23,21.0,22.7
americana,1,2020-08-30,24.0,21.5
americana,1,2020-09-06,27.0,26.4
americana,1,2020-09-13,19.0,31.9
americana,1,2020-09-20,23.0,22.1
americana,1,2020-09-27,21.0,25.4
americana,1,2020-10-04,22.0,20.9
americana,1,2020-10-11,16.0,21.9
americana,1,2020-10-18,14.0,16.9
americana,1,2020-10-25,13.0,15.4
americana,1,2020-11-01,10.0,16.3
americana,1,2020-11-08,24.0,9.4
americana,1,2020-11-15,13.0,16.7
americana,1,2020-11-22,4.0,16.7
americana,1,2020-11-29,7.0,9.9
americana,1,2020-12-06,10.0,6.6
americana,1,2020-12-13,5.0,8.4
americana,1,2020-12-20,9.0,7.8
americana,1,2020-12-27,5.0,8.7
americana,1,2021-01-03,18.0,14.4
americana,1,2021-01-10,17.0,13.0
americana,1,2021-01-17,13.0,18.6
americana,1,2021-01-24,17.0,16.7
americana,1,2021-01-31,27.0,16.0
americana,1,2021-02-07,25.0,27.3
americana,1,2021-02-14,35.0,30.0
americana,1,2021-02-21,40.0,40.1
americana,1,2021-02-28,41.0,45.3
americana,1,2021-03-07,48.0,46.4
americana,1,2021-03-14,40.0,56.8
americana,1,2021-03-21,49.0,42.3
americana,1,2021-03-28,74.0,50.3
americana,1,2021-04-04,105.0,74.9
americana,1,2021-04-11,133.0,104.1
americana,1,2021-04-18,108.0,150.7
americana,1,2021-04-25,82.0,106.9
americana,1,2021-05-02,73.0,76.6
americana,1,2021-05-09,53.0,54.0
americana,1,2021-05-16,48.0,40.5
americana,1,2021-05-23,47.0,34.7
americana,1,2021-05-30,32.0,35.1
americana,1,2021-06-06,18.0,23.4
americana,1,2021-06-13,29.0,15.6
americana,1,2021-06-20,22.0,20.7
americana,1,2021-06-27,11.0,15.1
americana,1,2021-07-04,13.0,8.8
americana,1,2021-07-11,12.0,9.6
americana,1,2021-07-18,16.0,9.7
americana,1,2021-07-25,10.0,11.3
americana,1,2021-08-01,9.0,8.1
americana,1,2021-08-08,11.0,8.0
americana,1,2021-08-15,11.0,9.1
americana,1,2021-08-22,11.0,9.3
americana,1,2021-08-29,17.0,10.6
americana,1,2021-09-05,20.0,12.6
americana,1,2021-09-12,24.0,18.2
americana,1,2021-09-19,19.0,23.5
americana,1,2021-09-26,19.0,20.2
americana,1,2021-10-03,21.0,19.3
americana,1,2021-10-10,26.0,18.6
americana,1,2021-10-17,16.0,23.3
americana,1,2021-10-24,20.0,17.3
americana,1,2021-10-31,27.0,19.1
americana,1,2021-11-07,21.0,22.5
americana,1,2021-11-14,29.0,20.1
americana,1,2021-11-21,26.0,26.3
americana,1,2021-11-28,37.0,26.5
americana,1,2021-12-05,46.0,33.4
americana,1,2021-12-12,26.0,39.2
americana,1,2021-12-19,5.0,27.0
americana,1,2021-12-26,0.0,14.8
americana,1,2022-01-02,46.0,2.8
americana,1,2022-01-09,45.0,30.1
americana,1,2022-01-16,32.0,59.7
americana,1,2022-01-23,30.0,40.8
americana,1,2022-01-30,38.0,34.1
americana,1,2022-02-06,47.0,39.7
americana,1,2022-02-13,59.0,52.1
americana,1,2022-02-20,63.0,63.7
americana,1,2022-02-27,135.0,71.5
americana,1,2022-03-06,191.0,154.6
americana,1,2022-03-13,310.0,238.6
americana,1,2022-03-20,538.0,388.8
